name,artists,id,popularity
Tyler Herro,['Jack Harlow'],4DuUwzP4ALMqpquHU0ltAB,85
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","['Jack Harlow', 'Tory Lanez', 'DaBaby', 'Lil Wayne']",2MbdDtCv5LUVjYy9RuGTgC,85
champagne problems,['Taylor Swift'],0sY6ZUTh4yoctD8VIXz339,85
E-GIRLS ARE RUINING MY LIFE!,"['CORPSE', 'Savage Ga$p']",7bCfHiRcfUjG0YVVNUL7Ve,85
Go Crazy,"['Chris Brown', 'Young Thug']",1IIKrJVP1C9N7iPtG6eOsK,85
hot girl bummer,['blackbear'],2mt1IqcFyY1zmYZT8Q3xw9,85
SO DONE,['The Kid LAROI'],5psEZhQu6lukjhavJo4AbC,85
Maniac,['Conan Gray'],6KfoDhO4XUWSbnyKjNp9c4,85
Life Is Good (feat. Drake),"['Future', 'Drake']",5yY9lUy8nbvjM1Uyo1Uqoc,85
Be Kind (with Halsey),"['Marshmello', 'Halsey']",3Z8FwOEN59mRMxDCtb8N0A,85
HACIENDO QUE ME AMAS,['Bad Bunny'],26QApq0cuO9brJigr0C0W4,85
BOOKER T,['Bad Bunny'],26w9NTiE9NGjW1ZvIOd1So,85
Kings & Queens,['Ava Max'],7a53HqqArd4b9NF4XAmlbI,85
Levitating (feat. DaBaby),"['Dua Lipa', 'DaBaby']",5nujrmhLynf4yMoMtj8AQF,85
Midnight Sky,['Miley Cyrus'],27ycaQnQAxaPiyeg3nr2aB,85
Break My Heart,['Dua Lipa'],017PF4Q3l4DBUiWoXk4OWT,85
Don't Start Now,['Dua Lipa'],3PfIrDoz19wz7qK7tYeu62,85
La Luz,"['Sech', 'J Balvin']",5zj8WNkBrEzlI5FKeYV4ol,85
Despeinada,"['Ozuna', 'Camilo']",0JAZWvvqttGFm4UMDsPQXC,85
Azul,['J Balvin'],2lCkncy6bIB0LTMT7kvrD1,85
Ponte Pa' Mi,['Justin Quiles'],4C6BlqqMwjFzOXzqpTeoWR,85
Tattoo - Remix with Camilo,"['Rauw Alejandro', 'Camilo']",4ZRrLHqzhGRXYj2qcB4s5S,85
Let It Snow! Let It Snow! Let It Snow!,['Dean Martin'],2uFaJJtFpPDc5Pa95XzTvg,84
Back In Black,['AC/DC'],08mG3Y1vljYA6bvDt4Wqkj,84
Every Breath You Take,['The Police'],1JSTJqkT5qHq8MDJnJbRE1,84
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),"['Frank Sinatra', 'B. Swanson Quartet']",4kKdvXD0ez7jp1296JmAts,84
Mistletoe,['Justin Bieber'],7xapw9Oy21WpfEcib2ErSA,84
Pumped Up Kicks,['Foster The People'],7w87IxuO7BDcJ3YUqCyMTT,84
Wake Me Up,['Avicii'],0nrRP2bk19rLc0orkWPQk2,84
No Role Modelz,['J. Cole'],62vpWI1CHwFy7tMIcSStl8,84
The Hills,['The Weeknd'],7fBv7CLKzipRk6EC6TWHOB,84
Play Date,['Melanie Martinez'],4DpNNXFMMxQEKl7r0ykkWA,84
Closer,"['The Chainsmokers', 'Halsey']",7BKLCZ1jbUBVqRi2FVlTVw,84
Clean White Noise - Loopable with no fade,"['Erik Eriksson', 'White Noise Baby Sleep', 'White Noise for Babies']",2bRKxuH1o7pTmb1y4GfdEc,84
SLOW DANCING IN THE DARK,['Joji'],0rKtyWc8bvkriBthvHKY8d,84
Sunflower - Spider-Man: Into the Spider-Verse,"['Post Malone', 'Swae Lee']",3KkXRkHbMCARz0aVfEt68P,84
Hope,['XXXTENTACION'],2ZRo7axmMPeSVUvDbGkJah,84
changes,['XXXTENTACION'],7AFASza1mXqntmGtbxXprO,84
Get You The Moon (feat. Snøw),"['Kina', 'Snøw']",4ZLzoOkj0MPWrTLvooIuaa,84
Happier,"['Marshmello', 'Bastille']",2dpaYNEQHiRxtZbfNsse99,84
Let Me Down Slowly,['Alec Benjamin'],2qxmye6gAegTMjLKEBoR3d,84
Shallow,"['Lady Gaga', 'Bradley Cooper']",2VxeLyX666F8uXCJ0dZF8B,84
Are You Bored Yet? (feat. Clairo),"['Wallows', 'Clairo']",57RA3JGafJm5zRtKJiKPIm,84
BOP,['DaBaby'],6Ozh9Ok6h4Oi1wUSLtBseN,84
Sunday Best,['Surfaces'],1Cv1YLb4q0RzL6pybtaMLo,84
"10,000 Hours (with Justin Bieber)","['Dan + Shay', 'Justin Bieber']",2wrJq5XKLnmhRXHIAf9xBa,84
Still Don't Know My Name,['Labrinth'],6N22FZs2ZhPBYi3b9XPajV,84
"thank u, next",['Ariana Grande'],3e9HZxeyfWwjeyPAMmWSSQ,84
Before You Go,['Lewis Capaldi'],7ce20yLkzuXXLUhzIDoZih,84
It's You,['Ali Gatie'],5DqdesEfbRyOlSS3Tf6c29,84
Runnin,"['21 Savage', 'Metro Boomin']",5SWnsxjhdcEDc7LJjq9UHk,84
Martin & Gina,['Polo G'],1VLtjHwRWOVJiE5Py7JxoQ,84
After Party,['Don Toliver'],527k23H0A4Q0UJN3vGs0Da,84
Blueberry Faygo,['Lil Mosey'],6wJYhPfqk3KGhHRG76WzOh,84
July,['Noah Cyrus'],6J2LdBN97cDWn0MLxYh9HB,84
The Woo (feat. 50 Cent & Roddy Ricch),"['Pop Smoke', '50 Cent', 'Roddy Ricch']",1H7KnK26kc1YyellpbINEn,84
THE SCOTTS,"['THE SCOTTS', 'Travis Scott', 'Kid Cudi']",39Yp9wwQiSRIDOvrVg7mbk,84
